ticket_id,subject,body,category,priority,source
1362,Holiday List,Need clarification regarding my salary.,HR,High,Live Chat
1074,Invoice Missing,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Live Chat
1375,Joining Date,I have not received my offer letter yet.,HR,High,Email
1156,Password Reset,The application crashes whenever I try to login.,Technical,High,Portal
1105,Incorrect Bill,I was charged twice for the same transaction.,Billing,High,Portal
1395,Need Help,How can I contact customer support?,General,Normal,Portal
1378,General Enquiry,Need more information about your services.,General,High,Live Chat
1125,Billing Issue,I was charged twice for the same transaction.,Billing,Normal,Portal
1069,Subscription Charged,Please share the invoice for Order #24168.,Billing,High,Email
1451,Product Information,What are your office working hours?,General,High,Live Chat
1010,Subscription Charged,"Hello Team, my payment of ₹1250 was deducted but the order is still pending.",Billing,Normal,Portal
1195,Password Reset,The website is not loading since morning.,Technical,High,Live Chat
1407,Office Timings,Need more information about your services.,General,Normal,Live Chat
1085,Duplicate Payment,"Hello Team, my payment of ₹13909 was deducted but the order is still pending.",Billing,High,Email
1372,Holiday List,Need clarification regarding my salary.,HR,High,Live Chat
1389,Feedback,How can I contact customer support?,General,High,Email
1496,Feedback,What are your office working hours?,General,High,Email
1031,Billing Issue,The billing amount seems incorrect. Kindly verify.,Billing,High,Email
1317,Resignation,Need clarification regarding my salary.,HR,Normal,Live Chat
1409,Office Timings,What are your office working hours?,General,High,Portal
1491,Product Information,What are your office working hours?,General,High,Email
1492,Company Address,Need more information about your services.,General,High,Live Chat
1281,Joining Date,Kindly send my payslip for this month.,HR,High,Portal
1357,Payslip Required,Attendance has been marked incorrectly.,HR,High,Email
1077,Refund Request,"Hello Team, my payment of ₹9018 was deducted but the order is still pending.",Billing,Normal,Portal
1462,Product Information,Can you share your company address?,General,High,Live Chat
1498,Contact Information,Can you share your company address?,General,Normal,Live Chat
1212,Database Error,I am getting a database connection error.,Technical,High,Email
1102,Duplicate Payment,I was charged twice for the same transaction.,Billing,High,Email
1335,Offer Letter,Need clarification regarding my salary.,HR,High,Live Chat
